ope8_id,city,state,name,degrees_awarded_predominant,size,online_only,avg_net_price_pub,pell_grant_rate,retention_four_year_full_time,part_time_share,act_25th_pctl_cumulative,act_75th_pctl_cumulative,sat_average_all,sat_25th_pctl_math,sat_75th_pctl_math,sat_25th_pctl_reading,sat_75th_pctl_reading,sat_25th_pctl_writing,sat_75th_pctl_writing,race_ethn_white,race_ethn_black,race_ethn_hispanic,race_ethn_asian,race_ethn_two_or_more
971e3,Huntsville,TN,Tennessee College of Applied Technology-Oneida-Huntsville,Predominantly certificate-degree granting,322,0,6250,0.3562,NaN,0.5311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0
402600,Crossville,TN,Tennessee College of Applied Technology-Crossville,Predominantly certificate-degree granting,270,0,8188,0.496,NaN,0.1148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9556,0.0037,0.0296,0.0037,0.0037
530700,McMinnville,TN,Tennessee College of Applied Technology-McMinnville,Predominantly certificate-degree granting,188,0,9412,0.8317,NaN,0.1489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9255,0.0266,0.0319,0,0.0106
535400,Jackson,TN,Tennessee College of Applied Technology-Jackson,Predominantly certificate-degree granting,425,0,7607,0.7745,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7365,0.2306,0.0165,0.0024,0.0118
402500,Knoxville,TN,Tennessee College of Applied Technology-Knoxville,Predominantly certificate-degree granting,760,0,5330,0.3257,NaN,0.2947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7408,0.1724,0.0237,0.0118,0.0395
2092800,Whiteville,TN,Tennessee College of Applied Technology-Whiteville,Predominantly certificate-degree granting,184,0,11925,0.5745,NaN,0.0543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4565,0.5163,0,0,0.0217
1269300,Knoxville,TN,Pellissippi State Community College,Predominantly associate's-degree granting,8776,0,8601,0.4133,NaN,0.4133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8128,0.0852,0.0376,0.0165,0.0291
351800,Collegedale,TN,Southern Adventist University,Predominantly bachelor's-degree granting,2693,0,NaN,0.3764,0.7696,0.1285,20,25,1050,450,580,470,600,460,590,0.5106,0.1129,0.2024,0.0709,0.0301
352500,Athens,TN,Tennessee Wesleyan College,Predominantly bachelor's-degree granting,1068,0,NaN,0.4589,0.6055,0.0721,19,24,1006,450,540,430,510,NaN,NaN,0.8202,0.0721,0.0178,0.0103,0.0159
352900,Chattanooga,TN,The University of Tennessee-Chattanooga,Predominantly bachelor's-degree granting,10184,0,12056,0.3527,0.6912,0.112,21,25,1069,470,590,470,590,NaN,NaN,0.7411,0.1137,0.0321,0.017,0.0777
353e3,Knoxville,TN,The University of Tennessee-Knoxville,Predominantly bachelor's-degree granting,20948,0,14162,0.2991,0.8563,0.0603,24,29,1199,520,650,520,640,NaN,NaN,0.8059,0.0735,0.0277,0.0285,0.028
353100,Martin,TN,The University of Tennessee-Martin,Predominantly bachelor's-degree granting,6554,0,6933,0.4709,0.6994,0.0969,20,25,1050,NaN,NaN,NaN,NaN,NaN,NaN,0.7601,0.1688,0.0214,0.0038,0.0174
743900,Knoxville,TN,Fountainhead College of Technology,Predominantly associate's-degree granting,180,0,NaN,0.4569,0.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9833,0.0111,0.0056,0,0
956700,Knoxville,TN,Tennessee School of Beauty of Knoxville Inc,Predominantly certificate-degree granting,173,0,NaN,0.2515,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9653,0.0116,0.0058,0.0116,0
352200,Nashville,TN,Tennessee State University,Predominantly bachelor's-degree granting,6669,0,9571,0.6656,0.5978,0.1891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1655,0.7731,0.0138,0.0135,0
352300,Cookeville,TN,Tennessee Technological University,Predominantly bachelor's-degree granting,9827,0,11321,0.3695,0.7458,0.0716,20,26,1071,470,650,450,600,NaN,NaN,0.8229,0.0371,0.024,0.012,0.023
352400,Chattanooga,TN,Tennessee Temple University,Predominantly bachelor's-degree granting,704,0,NaN,0.7909,0.6667,0.3594,16,20,878,400,530,380,480,380,480,0.6094,0.2642,0.0398,0.0028,0.0355
352600,Nashville,TN,Trevecca Nazarene University,Predominantly bachelor's-degree granting,1448,0,NaN,0.4226,0.7479,0.3101,19,26,1049,450,570,480,590,NaN,NaN,0.7079,0.078,0.0325,0.011,0.0193
537800,Blountville,TN,Northeast State Community College,Predominantly associate's-degree granting,5052,0,6658,0.518,NaN,0.3884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8947,0.0327,0.0176,0.0036,0.0113
352700,Greeneville,TN,Tusculum College,Predominantly bachelor's-degree granting,1844,0,NaN,0.5874,0.5,0.0559,18,23,961,440,520,400,520,NaN,NaN,0.833,0.1139,0.0211,0.0043,0.0016
352800,Jackson,TN,Union University,Predominantly bachelor's-degree granting,2565,0,NaN,0.281,0.9382,0.1524,22,29,1174,520,670,580,680,NaN,NaN,0.7236,0.1747,0.0242,0.0121,0.014
